"","TransactionID","ClassDesc","DeptDesc","Brand","Units"
"114553",-1127666341,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"114805",-1127602181,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"114923",-1127667529,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"115785",-1127609731,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"116953",-1127658644,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"118208",-1127609620,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"119014",-1127667410,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"119177",-1127708159,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"120135",-1127609237,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"120584",-1127619782,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"120722",-1127612858,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"120803",-1127558162,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"120886",-1127610068,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"121115",-1127750475,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"122230",-1127667334,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"122723",-1127603406,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"122729",-1127607570,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"123453",-1127735919,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"123812",-1127712159,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"123992",-1127617677,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"124562",-1127712922,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"124788",-1127739776,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"125023",-1127658165,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"125127",-1127568101,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"125587",-1127696955,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"126460",-1123972724,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"128399",-1127657988,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"128445",-1127670717,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"128690",-1127707736,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"128784",-1123972974,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"128818",-1127739802,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"129246",-1127750551,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"129891",-1127707734,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"130100",-1127750702,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"130716",-1127738540,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"130739",-1127750778,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"131252",-1127713606,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"131357",-1127738891,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"131367",-1127658335,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"131418",-1127735231,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"132948",-1127713577,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"133178",-1124005498,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"136332",-1124064514,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"137864",-1127750336,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"137879",-1123964373,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"143643",-1124087607,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"143791",-1124064597,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"143886",-1127750608,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"145130",-1124064424,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"145540",-1124064266,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"146540",-1127578479,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"148552",-1124064666,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
